id,marriage,attend,denom,gender,ideology,orientation,friends,educ,region,race,age
355,3,4,1,1,0,1,5,8,3,2,75
356,3,3,7,2,1,1,1,12,3,2,65
357,1,1,7,1,6,1,5,12,3,2,35
358,1,4,2,2,3,1,1,13,3,2,25
359,3,1,7,1,0,1,5,3,3,2,85
360,3,3,7,1,2,1,5,12,3,2,49
361,3,2,7,2,1,1,5,13,3,2,61
362,2,1,2,2,0,1,5,17,3,4,69
363,1,5,3,1,5,1,1,17,3,1,47
364,1,5,2,2,0,1,1,17,3,1,27
365,1,4,7,2,3,1,1,16,3,1,38
366,3,1,1,2,4,1,1,16,3,1,24
367,2,4,7,1,2,1,1,14,3,1,46
368,2,4,1,2,2,1,1,14,3,1,63
369,1,5,1,2,0,1,1,17,3,2,39
370,3,1,1,2,2,1,1,12,3,1,86
371,3,2,2,2,1,1,5,15,3,1,80
372,1,4,7,1,0,1,5,13,3,2,50
373,3,4,1,1,1,1,5,15,3,2,31
374,2,3,1,2,2,1,1,14,3,2,54
375,3,1,1,2,5,1,5,12,3,1,72
376,2,3,1,2,4,1,5,12,3,1,64
377,2,4,7,2,2,1,5,13,3,1,26
378,3,3,7,2,1,1,5,12,3,1,56
379,3,4,2,1,6,1,5,12,3,1,53
380,3,2,7,2,6,1,1,12,3,1,27
381,2,1,7,2,5,1,1,12,3,1,37
382,3,2,1,1,6,1,5,16,3,1,59
383,3,5,1,2,6,1,1,12,3,1,56
384,3,1,2,2,1,1,5,13,3,1,77
385,3,2,1,2,3,1,1,14,3,4,49
386,3,4,7,1,2,1,5,11,3,1,29
387,3,3,7,1,6,1,1,15,3,1,41
388,2,4,7,2,6,1,5,15,3,1,48
389,3,4,7,2,4,1,5,12,3,1,46
390,1,4,2,2,0,1,5,16,3,1,66
391,3,1,1,2,0,1,5,14,3,1,74
392,3,5,7,1,5,1,5,11,3,1,65
393,1,1,1,2,5,5,1,13,3,1,28
394,1,1,7,2,3,1,1,14,3,1,36
395,3,1,1,2,0,1,1,14,3,2,47
396,1,4,7,2,3,5,1,12,3,1,26
397,1,4,2,2,6,1,1,14,3,1,33
398,3,5,7,1,6,1,5,12,3,1,55
399,3,2,1,2,3,1,1,12,3,2,43
400,2,4,7,2,3,1,5,12,3,2,40
401,3,2,1,1,6,1,1,12,3,1,64
402,2,5,7,1,6,1,1,13,3,1,46
403,1,4,7,1,5,1,5,10,3,1,78
404,2,5,1,1,1,1,5,17,3,1,58
405,3,5,2,2,6,1,1,14,3,1,68
406,1,1,7,2,2,1,1,14,3,2,40
407,2,4,1,1,6,1,5,12,3,1,45
408,2,3,7,1,3,1,5,17,3,4,38
409,1,4,2,1,1,1,5,16,3,1,24
410,1,5,7,2,1,3,1,16,3,1,25
411,1,5,7,2,2,1,5,13,3,1,30
412,3,1,7,1,4,1,5,12,3,1,45
413,3,1,7,2,0,1,1,13,3,2,76
414,3,1,7,2,1,1,5,1,3,2,64
415,3,1,1,2,0,1,1,17,3,2,76
416,1,2,2,2,1,1,1,11,3,2,19
417,1,2,1,1,2,1,1,10,3,1,39
418,3,3,3,2,1,1,1,17,3,1,32
419,3,3,7,2,6,1,1,12,3,1,22
420,1,4,7,1,1,1,5,9,3,1,46
421,1,5,1,2,0,1,1,14,3,1,45
422,1,5,1,2,2,1,5,11,3,1,48
423,2,2,2,2,6,1,5,14,3,1,48
424,1,4,2,2,0,1,1,12,3,1,26
425,2,5,1,1,4,1,5,17,3,1,77
426,3,3,1,2,4,1,1,13,3,1,66
427,3,1,1,2,6,1,5,17,3,1,52
428,2,5,2,2,0,1,5,16,3,1,62
429,1,3,7,2,5,1,1,13,3,1,45
430,1,5,2,1,5,1,1,13,3,1,31
431,2,1,2,2,2,1,1,16,3,1,37
432,3,3,2,2,6,1,5,8,3,1,69
433,3,1,1,2,0,1,1,12,3,1,28
434,3,1,2,1,6,1,5,12,3,1,86
435,3,1,1,2,5,1,5,17,3,1,61
436,2,1,2,2,5,1,1,15,3,1,62
437,1,3,2,2,1,1,1,14,3,4,52
438,3,5,2,2,6,1,5,7,3,1,71
439,3,3,2,1,6,1,1,12,3,1,42
440,1,3,1,2,6,1,5,4,3,1,68
441,2,3,2,2,0,1,5,8,3,1,74
442,1,5,7,2,3,1,1,12,3,1,28
443,2,2,2,1,5,1,1,15,3,1,24
444,2,1,2,1,0,1,5,12,3,1,60
445,3,1,1,1,6,1,5,14,3,1,44
446,3,1,2,1,6,1,5,8,3,1,85
447,1,4,3,1,1,1,1,17,3,4,50
448,1,3,2,2,2,1,1,16,3,1,46
449,3,2,1,1,5,1,5,14,3,1,53
450,1,5,7,1,5,1,1,14,3,1,26
451,3,4,2,2,4,1,5,14,3,1,83
452,1,5,2,2,6,1,1,14,3,1,55
453,3,1,1,1,0,1,5,16,3,4,34
454,3,3,2,1,6,1,5,8,3,1,87
455,1,5,7,1,4,1,1,14,3,1,53
456,3,1,1,2,6,1,5,11,3,1,81
457,2,1,1,1,2,1,5,12,3,1,87
458,3,1,1,1,6,1,5,12,3,1,78
459,1,4,7,1,2,1,1,10,3,1,31
460,1,1,2,1,6,1,1,16,3,1,37
461,1,1,7,2,0,1,5,10,3,2,32
462,2,3,7,1,2,1,5,12,3,1,64
463,3,5,2,1,0,1,1,12,3,1,78
464,1,4,7,1,4,1,1,14,3,1,27
465,3,1,7,2,1,1,1,12,3,1,63
466,1,1,7,2,2,1,1,12,3,1,66
467,1,4,1,1,2,1,1,15,3,1,37
468,2,1,2,1,4,1,1,12,3,1,71
469,3,5,7,1,5,1,5,10,3,1,46
470,1,2,2,2,5,1,1,17,3,1,44
471,3,3,2,1,5,1,5,12,3,1,18
472,2,3,2,2,5,1,1,16,3,1,33
473,3,1,7,2,3,1,1,14,3,1,49
474,1,4,2,2,4,1,1,12,3,1,20
475,1,4,1,1,0,1,1,12,3,1,47
476,3,5,2,1,3,1,5,16,3,1,42
477,2,4,1,2,1,1,5,13,3,1,75
478,2,5,1,1,6,1,1,17,3,1,71
479,2,1,1,1,6,1,5,14,3,1,74
480,1,4,7,1,2,1,1,16,3,1,27
481,3,4,2,1,5,1,5,13,3,1,43
482,3,1,1,2,6,1,5,13,3,1,47
483,3,1,2,2,4,1,5,17,3,4,42
484,2,1,2,1,5,1,1,16,3,1,60
485,3,5,7,2,4,1,1,14,3,1,47
486,1,5,1,2,1,1,1,13,3,1,42
487,2,1,2,2,3,1,5,16,3,1,60
488,2,2,7,1,5,1,5,16,3,1,45
489,2,2,1,2,5,1,5,14,3,1,38
490,1,1,1,1,0,3,1,16,3,1,44
491,2,3,1,2,0,1,1,12,3,2,65
492,3,1,1,2,5,1,1,12,3,1,60
493,3,1,1,1,6,1,5,12,3,1,78
494,1,4,1,1,3,1,1,16,3,1,28
495,2,2,1,2,6,1,1,16,3,1,41
496,1,4,7,1,0,1,1,14,3,1,49
497,2,3,7,2,0,1,5,16,3,1,50
498,2,4,7,2,3,1,1,9,3,2,46
499,1,1,7,1,0,3,5,14,3,2,31
500,2,2,7,1,2,1,1,16,3,2,33
501,1,3,7,2,0,1,1,12,3,2,25
502,3,4,7,1,2,1,5,12,3,2,50
503,3,4,7,1,2,1,5,14,3,2,52
