id,degree,unmet,need,loan,scholarship,age19,onCampus,outstate,reciprocity,firstgen,act,ap,remedial,ratio,ccount,dcount,wcount
287,Graduate (original),6.1300001,2,0,0.5,0,1,0,1,1,32,12,0,100,0,0,0
288,Graduate (original),0,5.2509999,0.81900001,0,0,1,0,0,0,27,0,0,100,1,0,0
289,Graduate (original),0,0.25,3.3670001,2.5,0,1,0,0,1,28,0,0,100,0,0,0
290,Graduate (transfer),0,1.825,0,0,0,1,1,0,0,15,0,0,100,0,1,0
291,Graduate (transfer),15.636,0.1,0,0,0,1,0,1,0,22,0,0,100,0,1,0
292,Non-Graduate,15.136,0.5,0,0,0,1,0,0,0,23,0,0,20,0,0,2
293,Graduate (original),0,2.164,4.2410002,0,0,1,0,0,0,20,0,0,75,2,0,0
294,Graduate (original),14.026,0.30500001,0,0.5,0,0,0,0,1,32,27,0,100,0,0,0
295,Graduate (transfer),0,3.421,3.0480001,0,0,1,0,0,1,23,0,0,100,3,0,0
296,Non-Graduate,0,2.8469999,3.487,0,0,1,0,0,0,21,0,0,57.14286,0,2,1
297,Non-Graduate,6.6399999,3.256,1.294,0,0,1,0,0,0,21,0,1,100,1,0,0
